url,is_remapped,remapped_url
http://0-www.lexisnexis.com.catalogue.sclqld.org.au/au/legal/results/docview/attachRetrieve.do?csi=267689&A=0.9299136021297408&ersKey=23_T25115720705&urlEnc=ISO-8859-1&inline=y&smi=17329&componentseq=1&key=4BK9-CP00-TWGM-W1G2-00000-00&type=pdf&displayType=full_pdf&lni=4BK9-CP00-TWGM-W1G2&docTitle=R%20v%20BUCKETT%20-%20132%20ALR%20669,FALSE,UNMAPPED; client instructed to remove
http://0-www.lexisnexis.com.catalogue.sclqld.org.au/au/legal/results/docview/attachRetrieve.do?csi=267694&A=0.17726381264765423&ersKey=23_T25190711453&urlEnc=ISO-8859-1&inline=y&smi=17326&componentseq=1&key=5CVC-H4N1-DY5B-628C-00000-00&type=pdf&displayType=full_pdf&lni=5CVC-H4N1-DY5B-628C&docTitle=HAMMOND%20v%20THE%20QUEEN%20-%20(2013)%2085%20NSWLR%20313%20-%2010%20May%202013,TRUE,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2030553112&pubNum=5138&originatingDoc=I0f982e50882111e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=0b0049e56d1543d49fa8f2e72e20ca40&contextData=(sc.Default)&comp=wlau Inaccessible; Not Resolving
"http://0-www.lexisnexis.com.catalogue.sclqld.org.au/au/legal/results/docview/attachRetrieve.do?csi=267696&A=0.5362308707197203&ersKey=23_T25567228335&urlEnc=ISO-8859-1&inline=y&smi=17320&componentseq=1&key=4C6C-M7T0-TWGM-J0JX-00000-00&type=pdf&displayType=full_pdf&lni=4C6C-M7T0-TWGM-J0JX&docTitle=R.%20v%20F.,%20ex%20parte%20ATTORNEY-GENERAL%20-%20%5B2004%5D%201%20Qd%20R%20162%20-%2028%20February%202003&altRendition=Y",TRUE,https://www.queenslandjudgments.com.au/case/id/501169
http://0-www.westlaw.com.au.catalogue.sclqld.org.au/maf/wlau/app/blob?blobguid=I2d41c7f0cc8411e08eefa443f89988a0&file=(1971)_26_LGRA_237.pdf,TRUE,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=1971097546&pubNum=5137&originatingDoc=Id897c73088d411e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=c4ed16e778304907919c9bbef36051c3&contextData=(sc.Default)&comp=wlau
http://0-www.westlaw.com.au.catalogue.sclqld.org.au/maf/wlau/app/blob?blobguid=I69df3c40cc8111e08eefa443f89988a0&file=(1993)_178_CLR_193.pdf,TRUE,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=1993376502&pubNum=3586&originatingDoc=Iaed37b2087ac11e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=2c658a90cb274cac894899b0a9ce24e5&contextData=(sc.Default)&comp=wlau
http://0-www.westlaw.com.au.catalogue.sclqld.org.au/maf/wlau/app/blob?blobguid=I837ade70cc8111e08eefa443f89988a0&file=(2003)_217_CLR_1.pdf,TRUE,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2003537364&pubNum=3586&originatingDoc=I6087086087b611e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=cb3b45d49c894b9cac4fce2b6b10c854&contextData=(sc.Default)&comp=wlau
http://0-www.westlaw.com.au.catalogue.sclqld.org.au/maf/wlau/app/blob?blobguid=I995b4d60cc8111e08eefa443f89988a0&file=(2008)_82_ALJR_1334.pdf,TRUE,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2016843566&pubNum=5147&originatingDoc=I79380d6087bf11e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=2500741a7e704786bf45c46c32c45a79&contextData=(sc.Default)&comp=wlau
http://0-www.westlaw.com.au.catalogue.sclqld.org.au/maf/wlau/app/blob?blobguid=I99c8dc40cc8111e08eefa443f89988a0&file=(2008)_237_CLR_1.pdf,TRUE,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2016843566&pubNum=3586&originatingDoc=I79380d6087bf11e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=2500741a7e704786bf45c46c32c45a79&contextData=(sc.Default)&comp=wlau
http://0-www.westlaw.com.au.catalogue.sclqld.org.au/maf/wlau/app/document?docguid=I068e37d07bf011e6881a84759648e093&tocDs=AUNZ_CASE_TOC&isTocNav=true&startChunk=1&endChunk=1,TRUE,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=1987287701&pubNum=4840&originatingDoc=Id0d5f01088e511e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=4abe3d56f40442bebf6ffb6d8d026521&contextData=(sc.Default)&comp=wlau
http://0-www.westlaw.com.au.catalogue.sclqld.org.au/maf/wlau/app/document?docguid=I2c10b4439e1c11e0a619d462427863b2&tocDs=AUNZ_CASES_TOC&isTocNav=true&startChunk=1&endChunk=1,TRUE,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2003579075&pubNum=5341&originatingDoc=Ied02bee088ad11e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=2540b782b76845629b1381793563f5c7&contextData=(sc.Default)&comp=wlau
